"Ben Kalish Ezab","Abdallah",1950
"Ben Salaad","Omar",1941
"Alcazar","Peggy",1976
"Bolivar","Hippolyte",1932
"Haddock","Archibald",1941
"Bada","Ramon",1937
"Wagner","Igor",1939
"Charlet","Marc",1948
"Perez","Alonzo",1937
"Bazaroff","Basil",1937
"Ben Moulfrid","Youssouf",1950
"Tortilla","Rodrigo",1937
"Cartoffoli","Arturo Benedetto Giovanni Giuseppe Pietro Archangelo Alfredo",1956
"Boullu","Isidore",1963
"Capone","Al",1932
"Sakharine","Ivan Ivanovitch",1943
"Topolino","Alfredo",1956
"Tournesol","Tryphon",1945
"Thompson","Allan",1934
"Lampion","Seraphin",1956
"Rastapopoulos","Roberto",1934
"Castafiore","Blanca",1939
"Zarate","Ramon",1948
"Bergamotte","Hippolyte",1948
"Szprinkoth","Stephan",1956
"Ben Mahmoud","Ali",1950
